title,price,drivetrain,exterior_color,model,year,trim,fuel_consume(L/100km),region,province,battery_charge_time(hr),battery_range(km),body_type,mileage(km),front_legroom(mm),cargo_volume(L)
2022 Tesla Model 3 Long Range AWD,48999,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2022.0,Long Range AWD,1.9,Toronto,ON,10.0,538.0,Sedan,565,1085.0,424.0
2022 Tesla Model Y Performance AWD,45999,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2022.0,Performance AWD,2.09,Laval,QC,10.0,488.0,SUV/ Crossover,88962,1062.0,971.0
2020 Tesla Model Y Performance AWD,51995,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2020.0,Performance AWD,1.99,Richmond,BC,10.0,507.0,SUV/ Crossover,44586,1062.0,1925.0
2020 Tesla Model 3 Standard Range Plus RWD,32881,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,Langley,BC,10.0,402.0,Sedan,82000,1085.0,424.0
2023 Tesla Model 3 Performance AWD,46999,All-Wheel Drive,Black,Model 3,2023.0,Performance AWD,2.09,Saint-Constant,QC,10.0,507.0,Sedan,43681,1085.0,648.0
2021 Tesla Model 3 Standard Range Plus RWD,32800,Rear-Wheel Drive,Black,Model 3,2021.0,Standard Range Plus RWD,1.9,London,ON,10.0,430.0,Sedan,81000,1085.0,424.0
2019 Tesla Model X 100D AWD,69910,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model X,2019.0,100D AWD,2.655,Woodbridge,ON,12.0,475.0,SUV/ Crossover,59088,1046.0,543.0
2022 Tesla Model 3 RWD,38475,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2022.0,RWD,1.9,Chilliwack,BC,10.0,430.0,Sedan,54252,1085.0,648.0
2024 Tesla Model Y Long Range AWD,65900,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2024.0,Long Range AWD,1.99,Surrey,BC,9.0,499.0,SUV/ Crossover,4500,1062.0,971.0
2021 Tesla Model 3 Standard Range Plus RWD,39800,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2021.0,Standard Range Plus RWD,1.9,Surrey,BC,10.0,430.0,Sedan,11621,1085.0,424.0
2019 Tesla Model 3 Standard Plus RWD,27888,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2019.0,Standard Plus RWD,1.9,Concord,ON,10.0,386.0,Sedan,79812,1085.0,424.0
2022 Tesla Model Y Performance AWD,55800,All-Wheel Drive,Blue(/Deep Blue Metallic),Model Y,2022.0,Performance AWD,2.09,Richmond,BC,10.0,488.0,SUV/ Crossover,55914,1062.0,971.0
2023 Tesla Model 3 Long Range AWD,44928,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2023.0,Long Range AWD,1.9,Laval,QC,11.5,576.0,Sedan,30817,1085.0,648.0
2022 Tesla Model Y Performance AWD,48995,All-Wheel Drive,Blue(/Deep Blue Metallic),Model Y,2022.0,Performance AWD,1.945,Mississauga,ON,10.0,488.0,SUV/ Crossover,82205,1062.0,971.0
2022 Tesla Model Y Long Range AWD,45888,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2022.0,Long Range AWD,1.945,Concord,ON,10.0,531.0,SUV/ Crossover,74850,1062.0,971.0
2020 Tesla Model 3 Performance AWD,40999,All-Wheel Drive,Red,Model 3,2020.0,Performance AWD,1.945,Guelph,ON,10.0,481.0,Sedan,68879,1085.0,424.0
2022 Tesla Model Y Long Range AWD,52999,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2022.0,Long Range AWD,1.945,Prince Rupert,BC,10.0,531.0,SUV/ Crossover,42608,1062.0,971.0
2019 Tesla Model 3,29990,unknown,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2019.0,unknown,1.9,Victoriaville,QC,10.0,430.0,Sedan,69500,1085.0,424.0
2020 Tesla Model 3 Standard Range Plus RWD,28349,Rear-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2020.0,Standard Range Plus RWD,1.9,Owen Sound,ON,10.0,402.0,Sedan,107294,1085.0,424.0
2022 Tesla Model 3 Long Range AWD,39888,All-Wheel Drive,Red,Model 3,2022.0,Long Range AWD,1.9,Saint-Jean-sur-Richelieu,QC,10.0,538.0,Sedan,68450,1085.0,648.0
2018 Tesla Model 3 Long Range AWD,29998,All-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2018.0,Long Range AWD,2.045,Scarborough,ON,10.0,499.0,Sedan,99899,1085.0,424.0
2020 Tesla Model Y Long Range AWD,41888,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2020.0,Long Range AWD,1.99,Concord,ON,10.0,509.0,SUV/ Crossover,76960,1062.0,1925.0
2022 Tesla Model 3 Long Range AWD,45985,All-Wheel Drive,Black,Model 3,2022.0,Long Range AWD,1.9,Calgary,AB,10.0,538.0,Sedan,49827,1085.0,648.0
2022 Tesla Model 3 RWD,36500,Rear-Wheel Drive,Black,Model 3,2022.0,RWD,1.9,London,ON,10.0,430.0,Sedan,61000,1085.0,648.0
2021 Tesla Model 3 Standard Range Plus RWD,37990,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2021.0,Standard Range Plus RWD,1.9,Victoria,BC,10.0,430.0,Sedan,40710,1085.0,424.0
2021 Tesla Model 3 Standard Range Plus RWD,28888,Rear-Wheel Drive,Black,Model 3,2021.0,Standard Range Plus RWD,1.9,Toronto,ON,10.0,430.0,Sedan,99500,1085.0,424.0
2020 Tesla Model Y Long Range AWD,43985,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2020.0,Long Range AWD,1.99,North York,ON,10.0,509.0,SUV/ Crossover,56886,1062.0,1925.0
2020 Tesla Model 3 Long Range AWD,34590,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2020.0,Long Range AWD,1.945,Etobicoke,ON,10.0,518.0,Sedan,64709,1085.0,424.0
2022 Tesla Model X Plaid AWD,148888,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model X,2022.0,Plaid AWD,2.39,Coquitlam,BC,12.0,504.0,SUV/ Crossover,10400,1044.0,608.0
2019 Tesla Model 3 Performance AWD,32888,All-Wheel Drive,Red,Model 3,2019.0,Performance AWD,2.045,Richmond,BC,10.0,499.0,Sedan,122000,1085.0,424.0
2020 Tesla Model 3 Long Range AWD,32980,All-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2020.0,Long Range AWD,1.945,St.-Hubert,QC,10.0,518.0,Sedan,84505,1085.0,424.0
2020 Tesla Model 3,29800,unknown,Black,Model 3,2020.0,unknown,1.9,London,ON,10.0,430.0,Sedan,98000,1085.0,424.0
2021 Tesla Model 3 Standard Range Plus RWD,27998,Rear-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2021.0,Standard Range Plus RWD,1.9,Carignan,QC,10.0,430.0,Sedan,104233,1085.0,424.0
2021 Tesla Model Y Long Range AWD,47995,All-Wheel Drive,Blue(/Deep Blue Metallic),Model Y,2021.0,Long Range AWD,1.945,Quebec,QC,10.0,509.0,SUV/ Crossover,49464,1062.0,1925.0
2023 Tesla Model Y RWD,43999,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2023.0,RWD,1.945,Longueuil,QC,9.4,418.0,SUV/ Crossover,30514,1064.0,971.0
2022 Tesla Model Y Long Range AWD,44990,All-Wheel Drive,Black,Model Y,2022.0,Long Range AWD,1.945,Etobicoke,ON,10.0,531.0,SUV/ Crossover,81007,1062.0,971.0
2020 Tesla Model 3 Standard Range Plus RWD,31900,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,Surrey,BC,10.0,402.0,Sedan,97054,1085.0,424.0
2020 Tesla Model 3 Standard Range Plus RWD,36980,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,Vancouver,BC,10.0,402.0,Sedan,36788,1085.0,424.0
2021 Tesla Model Y Standard Range RWD,36995,Rear-Wheel Drive,Blue(/Deep Blue Metallic),Model Y,2021.0,Standard Range RWD,1.945,Salaberry-de-Valleyfield,QC,10.0,393.0,SUV/ Crossover,85381,1062.0,1925.0
2020 Tesla Model 3 Long Range AWD,32998,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Long Range AWD,1.945,Carignan,QC,10.0,518.0,Sedan,76145,1085.0,424.0
2022 Tesla Model 3 Long Range AWD,30490,All-Wheel Drive,Black,Model 3,2022.0,Long Range AWD,1.9,Fenwick,ON,10.0,538.0,Sedan,152000,1085.0,648.0
2019 Tesla Model 3 Performance AWD,37750,All-Wheel Drive,Black,Model 3,2019.0,Performance AWD,2.045,Sidney,BC,10.0,499.0,Sedan,62700,1085.0,424.0
2023 Tesla Model Y RWD,44390,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2023.0,RWD,1.945,Toronto,ON,9.4,418.0,SUV/ Crossover,21400,1064.0,971.0
2022 Tesla Model Y Long Range AWD,52690,All-Wheel Drive,Blue(/Deep Blue Metallic),Model Y,2022.0,Long Range AWD,1.945,Etobicoke,ON,10.0,531.0,SUV/ Crossover,24240,1062.0,971.0
2020 Tesla Model 3 Standard Range Plus RWD,29800,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,Coquitlam,BC,10.0,402.0,Sedan,124000,1085.0,424.0
2020 Tesla Model 3 Standard Range Plus RWD,34699,Rear-Wheel Drive,Silver,Model 3,2020.0,Standard Range Plus RWD,1.9,Winnipeg,MB,10.0,402.0,Sedan,74311,1085.0,424.0
2018 Tesla Model 3 Long Range RWD,28995,Rear-Wheel Drive,Red,Model 3,2018.0,Long Range RWD,1.9,Calgary,AB,12.0,499.0,Sedan,157446,1085.0,424.0
2014 Tesla Model S P85 RWD,24990,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model S,2014.0,P85 RWD,2.655,Hillsburgh,ON,12.0,407.0,Sedan,152100,1085.0,894.0
2022 Tesla Model Y Long Range AWD,45888,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2022.0,Long Range AWD,1.945,Concord,ON,10.0,531.0,SUV/ Crossover,76372,1062.0,971.0
2021 Tesla Model 3 Standard Range Plus RWD,35900,Rear-Wheel Drive,Red,Model 3,2021.0,Standard Range Plus RWD,1.9,London,ON,10.0,430.0,Sedan,45000,1085.0,424.0
2020 Tesla Model 3 Standard Range Plus RWD,33888,Rear-Wheel Drive,Black,Model 3,2020.0,Standard Range Plus RWD,1.9,Burnaby,BC,10.0,402.0,Sedan,67375,1085.0,424.0
2020 Tesla Model 3,26800,unknown,White(/Pearl White Multi-Coat),Model 3,2020.0,unknown,1.9,London,ON,10.0,430.0,Sedan,135000,1085.0,424.0
2020 Tesla Model 3 Long Range AWD,32490,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Long Range AWD,1.945,Boucherville,QC,10.0,518.0,Sedan,83965,1085.0,424.0
2017 Tesla Model X 75D AWD,39995,All-Wheel Drive,White(/Pearl White Multi-Coat),Model X,2017.0,75D AWD,2.555,Toronto,ON,12.0,383.0,SUV/ Crossover,124000,1046.0,736.0
2018 Tesla Model 3 Long Range AWD,34800,All-Wheel Drive,Red,Model 3,2018.0,Long Range AWD,2.045,Richmond,BC,10.0,499.0,Sedan,52000,1085.0,424.0
2020 Tesla Model 3 Long Range AWD,34449,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Long Range AWD,1.945,Brampton,ON,10.0,518.0,Sedan,69350,1085.0,424.0
2020 Tesla Model 3 Standard Range Plus RWD,32888,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,Maple Ridge,BC,10.0,402.0,Sedan,86000,1085.0,424.0
2018 Tesla Model 3 Long Range RWD,38500,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2018.0,Long Range RWD,1.9,Sidney,BC,12.0,499.0,Sedan,51804,1085.0,424.0
2022 Tesla Model 3 Long Range AWD,36499,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2022.0,Long Range AWD,1.9,Laval,QC,10.0,538.0,Sedan,98763,1085.0,648.0
2019 Tesla Model 3 Long Range RWD,31888,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2019.0,Long Range RWD,1.9,Surrey,BC,10.0,499.0,Sedan,105249,1085.0,424.0
2022 Tesla Model X AWD,97888,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model X,2022.0,AWD,2.29,Coquitlam,BC,12.0,534.0,SUV/ Crossover,48297,1044.0,1231.0
2016 Tesla Model X 75D AWD,50950,All-Wheel Drive,Blue(/Deep Blue Metallic),Model X,2016.0,75D AWD,2.555,Richmond,BC,12.0,383.0,SUV/ Crossover,91000,1046.0,736.0
2021 Tesla Model Y Standard Range RWD,33995,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2021.0,Standard Range RWD,1.945,Toronto,ON,10.0,393.0,SUV/ Crossover,128793,1062.0,1925.0
2018 Tesla Model 3 Long Range AWD,29900,All-Wheel Drive,Black,Model 3,2018.0,Long Range AWD,2.045,Nobleton,ON,10.0,499.0,Sedan,95348,1085.0,424.0
2022 Tesla Model Y Long Range AWD,52490,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2022.0,Long Range AWD,1.945,Etobicoke,ON,10.0,531.0,SUV/ Crossover,27749,1062.0,971.0
2019 Tesla Model 3 Standard Plus RWD,32995,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2019.0,Standard Plus RWD,1.9,Penticton,BC,10.0,386.0,Sedan,56471,1085.0,424.0
2022 Tesla Model Y Long Range AWD,49990,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2022.0,Long Range AWD,1.945,Etobicoke,ON,10.0,531.0,SUV/ Crossover,46578,1062.0,971.0
2020 Tesla Model 3 Standard Range Plus RWD,31995,Rear-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2020.0,Standard Range Plus RWD,1.9,Hilden,NS,10.0,402.0,Sedan,84000,1085.0,424.0
2022 Tesla Model Y Long Range AWD,42888,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2022.0,Long Range AWD,1.945,Concord,ON,10.0,531.0,SUV/ Crossover,101047,1062.0,971.0
2022 Tesla Model Y Long Range AWD,57900,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2022.0,Long Range AWD,1.945,Vancouver,BC,10.0,531.0,SUV/ Crossover,18500,1062.0,971.0
2021 Tesla Model Y Long Range AWD,49280,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2021.0,Long Range AWD,1.945,Sidney,BC,10.0,509.0,SUV/ Crossover,72000,1062.0,1925.0
2020 Tesla Model 3 Long Range AWD,36950,All-Wheel Drive,Red,Model 3,2020.0,Long Range AWD,1.945,Richmond,BC,10.0,518.0,Sedan,86500,1085.0,424.0
2022 Tesla Model 3 Long Range AWD,59950,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2022.0,Long Range AWD,1.9,North Vancouver,BC,10.0,538.0,Sedan,300,1085.0,648.0
2016 Tesla Model S,36999,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model S,2016.0,75D AWD,2.3,Toronto,ON,12.0,435.0,Sedan,77000,1085.0,894.0
2014 Tesla Model S P85 RWD,39800,Rear-Wheel Drive,Red,Model S,2014.0,P85 RWD,2.655,Langley City,BC,12.0,407.0,Sedan,76000,1085.0,894.0
2015 Tesla Model S 70D AWD,21999,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model S,2015.0,70D AWD,2.3,North York,ON,12.0,386.0,Sedan,147000,1085.0,894.0
2015 Tesla Model S 70D AWD,17995,All-Wheel Drive,Blue(/Deep Blue Metallic),Model S,2015.0,70D AWD,2.3,Saint-Sulpice,QC,12.0,386.0,Sedan,216088,1085.0,894.0
2015 Tesla Model S 70D AWD,23888,All-Wheel Drive,White(/Pearl White Multi-Coat),Model S,2015.0,70D AWD,2.3,Coquitlam,BC,12.0,386.0,Sedan,159310,1085.0,894.0
2014 Tesla Model S P85 RWD,24999,Rear-Wheel Drive,Black,Model S,2014.0,P85 RWD,2.655,Burnaby,BC,12.0,407.0,Sedan,120519,1085.0,894.0
2021 Tesla Model Y Long Range AWD,39999,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2021.0,Long Range AWD,1.945,Calgary,AB,10.0,509.0,SUV/ Crossover,78645,1062.0,1925.0
2018 Tesla Model 3 Long Range RWD,23900,Rear-Wheel Drive,Black,Model 3,2018.0,Long Range RWD,1.9,North York,ON,12.0,499.0,Sedan,137000,1085.0,424.0
2015 Tesla Model S 70D AWD,25900,All-Wheel Drive,White(/Pearl White Multi-Coat),Model S,2015.0,70D AWD,2.3,Coquitlam,BC,12.0,386.0,Sedan,128120,1085.0,894.0
2023 Tesla Model 3 RWD,35999,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2023.0,RWD,1.9,Calgary,AB,10.4,438.0,Sedan,4918,1085.0,648.0
2019 Tesla Model S Performance AWD with Ludicrous Mode,63995,All-Wheel Drive,Red,Model S,2019.0,Performance AWD with Ludicrous Mode,2.3,Milton,ON,12.0,507.0,Sedan,69009,1085.0,744.0
2016 Tesla Model S,26985,unknown,Black,Model S,2016.0,unknown,2.3,Victoria,BC,12.0,435.0,Sedan,201531,1085.0,894.0
2021 Tesla Model 3 Standard Range Plus RWD,25895,Rear-Wheel Drive,Black,Model 3,2021.0,Standard Range Plus RWD,1.9,Langley,BC,10.0,430.0,Sedan,87000,1085.0,424.0
2015 Tesla Model S 70D AWD,42888,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model S,2015.0,70D AWD,2.3,Ottawa,ON,12.0,386.0,Sedan,142105,1085.0,894.0
2022 Tesla Model 3 RWD,34995,Rear-Wheel Drive,Red,Model 3,2022.0,RWD,1.9,Toronto,ON,10.0,430.0,Sedan,55000,1085.0,648.0
2020 Tesla Model 3 Standard Range Plus RWD,22990,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,New Westminster,BC,10.0,402.0,Sedan,117000,1085.0,424.0
2015 Tesla Model S 70D AWD,19999,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model S,2015.0,70D AWD,2.3,Pickering,ON,12.0,386.0,Sedan,173028,1085.0,894.0
2023 Tesla Model 3 RWD,33995,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2023.0,RWD,1.9,Toronto,ON,10.4,438.0,Sedan,123000,1085.0,648.0
2022 Tesla Model 3 RWD,29995,Rear-Wheel Drive,Red,Model 3,2022.0,RWD,1.9,Toronto,ON,10.0,430.0,Sedan,131000,1085.0,648.0
2019 Tesla Model 3 Standard RWD,24999,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2019.0,Standard RWD,1.9,Calgary,AB,10.0,354.0,Sedan,83834,1085.0,424.0
2019 Tesla Model 3 Long Range AWD,28999,All-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2019.0,Long Range AWD,2.045,Calgary,AB,10.0,499.0,Sedan,56813,1085.0,424.0
2016 Tesla Model S 90D AWD,69995,All-Wheel Drive,Black,Model S,2016.0,90D AWD,2.255,Guelph,ON,12.0,473.0,Sedan,59990,1085.0,894.0
2022 Tesla Model Y Long Range AWD,71995,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2022.0,Long Range AWD,1.945,St. Marys,ON,10.0,531.0,SUV/ Crossover,8180,1062.0,971.0
2017 Tesla Model X P100D AWD,99895,All-Wheel Drive,Red,Model X,2017.0,P100D AWD,2.765,Saint-Albert,QC,12.0,465.0,SUV/ Crossover,125000,1046.0,736.0
2019 Tesla Model 3 Standard Plus RWD,38999,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2019.0,Standard Plus RWD,1.9,Scarborough,ON,10.0,386.0,Sedan,88219,1085.0,424.0
2022 Tesla Model 3 Long Range AWD,89888,All-Wheel Drive,Black,Model 3,2022.0,Long Range AWD,1.9,Newmarket,ON,10.0,538.0,Sedan,4860,1085.0,648.0
2018 Tesla Model 3 Performance AWD,38950,All-Wheel Drive,Red,Model 3,2018.0,Performance AWD,2.045,Richmond,BC,10.0,499.0,Sedan,53100,1085.0,424.0
2022 Tesla Model 3 Long Range AWD,59991,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2022.0,Long Range AWD,1.9,Sudbury,ON,10.0,538.0,Sedan,35000,1085.0,648.0
2013 Tesla Model S 60 RWD,27888,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model S,2013.0,60 RWD,2.455,Vancouver,BC,10.0,335.0,Sedan,133200,1085.0,894.0
2019 Tesla Model 3 Standard Plus RWD,42888,Rear-Wheel Drive,Black,Model 3,2019.0,Standard Plus RWD,1.9,Vancouver,BC,10.0,386.0,Sedan,91900,1085.0,424.0
2020 Tesla Model 3 Standard Range AWD,45888,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range AWD,1.9,Medicine Hat,AB,10.0,354.0,Sedan,60120,1085.0,424.0
2020 Tesla Model 3 Long Range AWD,44888,All-Wheel Drive,Black,Model 3,2020.0,Long Range AWD,1.9,Surrey,BC,10.0,518.0,Sedan,116725,1085.0,424.0
2023 Tesla Model Y RWD,52010,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2023.0,RWD,1.945,Waterloo,ON,9.4,418.0,SUV/ Crossover,32017,1064.0,971.0
2017 Tesla Model X P100D AWD,53200,All-Wheel Drive,Silver,Model X,2017.0,P100D AWD,2.765,Coquitlam,BC,12.0,465.0,SUV/ Crossover,94117,1046.0,736.0
2020 Tesla Model 3 Long Range AWD,43850,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Long Range AWD,1.9,Langley,BC,10.0,518.0,Sedan,105234,1085.0,424.0
2020 Tesla Model 3 Standard Range AWD,27995,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range AWD,1.9,Toronto,ON,10.0,354.0,Sedan,137000,1085.0,424.0
2023 Tesla Model S Plaid AWD,116999,All-Wheel Drive,White(/Pearl White Multi-Coat),Model S,2023.0,Plaid AWD,1.945,Mississauga,ON,15.0,637.0,Sedan,27004,1077.0,798.0
2021 Tesla Model 3 Standard Range Plus RWD,69888,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2021.0,Standard Range Plus RWD,1.9,New Westminster,BC,10.0,430.0,Sedan,15820,1085.0,424.0
2023 Tesla Model Y,59888,unknown,White(/Pearl White Multi-Coat),Model Y,2023.0,unknown,1.945,Calgary,AB,10.0,509.0,SUV/ Crossover,37786,1062.0,971.0
2021 Tesla Model 3 Standard Range Plus RWD,35895,Rear-Wheel Drive,Red,Model 3,2021.0,Standard Range Plus RWD,1.9,Scarborough,ON,10.0,430.0,Sedan,17687,1085.0,424.0
2022 Tesla Model 3 RWD,41200,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2022.0,RWD,1.9,Port Coquitlam,BC,10.0,430.0,Sedan,34782,1085.0,648.0
2022 Tesla Model 3 RWD,40800,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2022.0,RWD,1.9,Richmond,BC,10.0,430.0,Sedan,38772,1085.0,648.0
2023 Tesla Model 3 RWD,44900,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2023.0,RWD,1.9,Vancouver,BC,10.4,438.0,Sedan,26855,1085.0,648.0
2018 Tesla Model 3 Performance AWD,24994,All-Wheel Drive,Black,Model 3,2018.0,Performance AWD,2.045,Concord,ON,10.0,499.0,Sedan,129000,1085.0,424.0
2021 Tesla Model Y Long Range AWD,48995,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2021.0,Long Range AWD,1.945,Mississauga,ON,10.0,509.0,SUV/ Crossover,45235,1062.0,1925.0
2021 Tesla Model Y Performance AWD,53995,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2021.0,Performance AWD,1.945,Abbotsford,BC,10.0,507.0,SUV/ Crossover,66635,1062.0,1925.0
2023 Tesla Model Y Long Range AWD,52800,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2023.0,Long Range AWD,1.945,Richmond,BC,11.5,531.0,SUV/ Crossover,58500,1062.0,971.0
2021 Tesla Model 3 Standard Range Plus RWD,32995,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2021.0,Standard Range Plus RWD,1.9,Toronto,ON,10.0,430.0,Sedan,67025,1085.0,424.0
2022 Tesla Model Y Long Range AWD,49888,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2022.0,Long Range AWD,1.945,Burnaby,BC,10.0,531.0,SUV/ Crossover,85707,1062.0,971.0
2022 Tesla Model Y Long Range AWD,47984,All-Wheel Drive,Red,Model Y,2022.0,Long Range AWD,1.945,Cowansville,QC,10.0,531.0,SUV/ Crossover,60571,1062.0,971.0
2020 Tesla Model Y Long Range AWD,39888,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2020.0,Long Range AWD,1.99,Concord,ON,10.0,509.0,SUV/ Crossover,109289,1062.0,1925.0
2023 Tesla Model 3 RWD,44980,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2023.0,RWD,1.9,Vancouver,BC,10.4,438.0,Sedan,4246,1085.0,648.0
2022 Tesla Model Y Performance AWD,51495,All-Wheel Drive,Black,Model Y,2022.0,Performance AWD,1.945,Saint-Jean-sur-Richelieu,QC,10.0,488.0,SUV/ Crossover,55240,1062.0,971.0
2022 Tesla Model S AWD,81888,All-Wheel Drive,Black,Model S,2022.0,AWD,1.945,Coquitlam,BC,15.0,652.0,Sedan,36987,1077.0,798.0
2022 Tesla Model 3 Long Range AWD,49888,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2022.0,Long Range AWD,1.9,Edmonton,AB,10.0,538.0,Sedan,41000,1085.0,648.0
2022 Tesla Model 3 Performance AWD,55850,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2022.0,Performance AWD,1.9,Langley,BC,10.0,507.0,Sedan,38158,1085.0,648.0
2021 Tesla Model 3 Standard Range Plus RWD,36995,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2021.0,Standard Range Plus RWD,1.9,Abbotsford,BC,10.0,430.0,Sedan,67955,1085.0,424.0
2023 Tesla Model 3 RWD,41995,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2023.0,RWD,1.9,Surrey,BC,10.4,438.0,Sedan,33827,1085.0,648.0
2017 Tesla Model X 90D AWD,43900,All-Wheel Drive,Silver,Model X,2017.0,90D AWD,2.555,Coquitlam,BC,12.0,414.0,SUV/ Crossover,269325,1046.0,736.0
2023 Tesla Model X Plaid AWD,115800,All-Wheel Drive,White(/Pearl White Multi-Coat),Model X,2023.0,Plaid AWD,2.39,North York,ON,14.0,536.0,SUV/ Crossover,8700,1044.0,608.0
2021 Tesla Model S Long Range AWD,69900,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model S,2021.0,Long Range AWD,1.945,Concord,ON,15.0,652.0,Sedan,31388,1085.0,894.0
